,code,time,title,tenant_type,group,urgency1,urgency2,business,bug_type,reason
147,230706-00002158,2023-07-06 13:57:40,【川洋】发货单列表提示服务器内部错误,SaaS,E,一般,中,订单,代码错误,合并发货单计算发货单状态后聚合非合并发货单时空指针异常
148,230706-00002156,2023-07-06 13:23:39,【金华电气】订单发货统计报表，点导出，报错,SaaS,E,严重,紧急,订单,代码错误,订单产品行的自定义字段值为null
149,230706-00002154,2023-07-06 11:21:22,【河南金华电气有限公司】，订单详情点击打印-点击标签-选择100条/页后取消，重新点击打印-点击标签，默认显示100条/页但是数据仅展示20行，比如订单号：JH20230628002，导致用户看到的是100条/页，但是全选的时候只有20条,SaaS,E,致命,紧急,订单,代码错误,打开窗口的默认分页参数错误，没有取上次的缓存
150,230706-00002142,2023-07-06 08:46:40,【烟台艾迪】线上环境，新增规格点击保存后出现错误,SaaS,E,一般,中,生产管理,代码错误,新建规格会查询当前租户规格最大的序号（seq），用于后续累加，当规格库的规格都被删除时，会引起空指针
151,230705-00002140,2023-07-05 18:53:52,【河北千木紧固件制造有限公司】应收管理和应付管理的报表里面明细数据都无法显示,SaaS,CorePaaS,严重,紧急,财务,其他,6月29，cps优化了批量接口，同步mongo数据到clickhouse时，表头上没再继续放子表id字段了，导致报表中表头关联子表查询为空
152,230705-00002137,2023-07-05 16:58:35,【东营泰丰精密金属有限公司】用户使用仓库查询，勾选了【成品库】后显示物料总计是1235项，但是导出后显示1230，剩余的5个产品麻烦查看下是是否因为有物料禁用的原因，如果是，请帮忙查看下哪五个物料禁用后有库存，库存是多少呢,SaaS,E,严重,紧急,库存,设计问题,库存查询逻辑过滤了未启用物料的数据，但是导出时没有过滤。
153,230705-00002132,2023-07-05 14:16:09,东海橡塑：corepass搭建表单产线，对已有数据进行二次编辑修改后保存提示 500服务执行失败，编号不能为空,SaaS,CorePaaS,严重,紧急,CorePaaS,重复发现,子表是个独立表单，独立表单内编号拖到了布局内，但是在他表内子表的编号未拖到布局
154,230705-00002131,2023-07-05 13:49:15,【金纬机械】生产成本计算失败,SaaS,产品组,严重,中,X,设计问题,生产成本会校验存库核算出库单价不允许为负数，产品确认出库单价可以为负数，生产成本计算可以不进行该项校验
155,230705-00002130,2023-07-05 13:30:26,【温州市致特森汽车配件有限公司】-物料需求计划新（新）运行报错,SaaS,E,致命,紧急,主生产计划,数据清理,致特森之前OpenAPI的bug导致，订单承诺交期被修改为1970年，需求计划运行时计算出错
156,230705-00002122,2023-07-05 10:42:02,【海德鲁铝业科技（太仓）有限公司-管业】-不合格评审单： 00005656，操作日志显示更更新审核进度为：质量工程师初审，且查看工作触发成功，但是表单内显示此单据的审核进度还是未审核状态,SaaS,CorePaaS,严重,低,生产管理,无法复现,暂无法复现，经过沟通，先行关闭，测试环境想办法复现
157,230705-00002119,2023-07-05 09:47:24,"神工-凭证-出入库历史打开报错,提示【400】 java.lang.String cannot be cast to java.lang.Long",SaaS,E,严重,高,库存,代码错误,反射赋值-1字符串，无法转为整型
158,230704-00002113,2023-07-04 17:03:58,【福州欧龙光学科技有限公司】用户朱丽生，批量更新物料，提示更新失败但是没有文件展示，麻烦查看下是哪里的问题呢,SaaS,E,致命,紧急,物料,性能问题,导入物料过多导致失败，已提优化计划，月底前上线
159,230704-00002109,2023-07-04 15:48:17,【艾迪-树根线上环境】生产入库任务扫码15个，入库确认时出现21个，导致入库数量大于申请数量，无法完成入库任务。,SaaS,移动端,一般,中,生产管理,代码错误,未清空上次扫码信息，导致数据重复累加
160,230704-00002108,2023-07-04 15:43:25,C1【同惠】 反应系统加载不出来，C1【 静雅】 反应系统显示空白，运维验证登录提示“用户中心服务内部错误”,SaaS,产品组,致命,紧急,生产管理,代码错误,C1 静雅生产单太多，导致 core 应用 oom
161,230704-00002107,2023-07-04 15:27:38,【南京川木】已开通权限，但按仓库导出权限提示没有,SaaS,E,一般,中,库存,无法复现,等用户复现后直接远程
162,230704-00002102,2023-07-04 13:40:07,【恒冠】-发货单已经提交，显示审核中，审核通过时提示未提交，点击重审或提交人撤回均提示单据未提交，帮忙看下什么问题呢,SaaS,E,致命,紧急,发货单,代码错误,库存检验单修改了审核流提交接口逻辑，合并发货提交时之前需要将merge_batch_id拼成123321_123321的格式给到审核流，修改后变成了123321，导致后续审核流程走不通了
163,230704-00002099,2023-07-04 12:11:11,【南通金韦尔】MRP下达任务报错,SaaS,M,严重,中,X,无法复现,"因为其他人导入的生产单的时候生产单编号填的和订单生成生产单的编号的规则相同,导致订单下达的时候已存在相同生产单.建议导入的时候使用不同的规则创建.如果遇到这种情况,需要多下达几次,出发订单流水号的自增"
164,230704-00002098,2023-07-04 10:01:34,【欣阳】返修流程提示生产工序未派发,SaaS,M,一般,中,返工返修,代码错误,"关联原生产单,检验任务不支持拼接到返修单里"
165,230704-00002097,2023-07-04 09:50:40,【福特斯】-销售-发货单，列表按物料显示导出后excel文件显示自定义字段值，但是详情页导出excel文件显示未自定义字段值，比如发货单号：I-230628-006,SaaS,E,致命,紧急,发货单,设计问题,详情页没有做自定义字段导出，导出的表头为旧版自定义字段
166,230704-00002096,2023-07-04 09:18:36,【苏州沃涵进出口有限公司】-出入库历史导出“单位成本”字段未和系统保持一直，系统显示6位小数，但是导出表单显示两位小数，比如单号：L-230601-001,SaaS,E,致命,紧急,库存,设计问题,最初版导出设置的2位，改为6位
167,230703-00002095,2023-07-03 18:56:58,【高佳】进去流转接收单界面卡顿进不去，进去了也提示报错,SaaS,E,严重,紧急,CorePaaS,性能问题,订单与生产单表单相关关联查询，导致循环查询
168,230703-00002092,2023-07-03 17:09:06,业务对接审核流ower为APAAS的，批量提交会报：单据未提交错误,SaaS,CorePaaS,严重,高,CorePaaS,代码错误,领域融合表单审核流改造遗留问题
169,230703-00002088,2023-07-03 15:58:37,【明达铝业科技（太仓）有限公司（NEW）】模具权限、模具数据找不到、模具生产领用单被调整,SaaS,CorePaaS,致命,紧急,工模具,环境运维,误操作重置了整个表单
170,230703-00002082,2023-07-03 15:46:14,【烟台艾迪-树根】CPS单据无法批量审批通过。请协助查看原因，并尽快解决。,SaaS,CorePaaS,严重,高,CorePaaS,代码错误,vpn未开启，先关闭bug，等外网权限打开再排查
171,230703-00002085,2023-07-03 15:46:12,CPS表单保存失败,SaaS,CorePaaS,严重,中,CorePaaS,脏数据处理,脏数据，重新拖字段解决
172,230703-00002084,2023-07-03 15:43:13,【海德鲁】-看板-设备驾驶舱-Fabrication MES-中右下角板块在web端直接查看是适配的，但是客户电视机显示会有空白。电视机小米和创维,SaaS,前端,一般,中,看板,用户体验,暂不做修复，可以转UI需求给到寒啸那边进行排期
173,230703-00002083,2023-07-03 15:37:58,【福特斯】-销售-报表统计-订单发货统计，用户反馈之导出是可以导出OE和客户编号字段的，但是现在导出没有相关字段，是更新了嘛？还是什么问题导致的呢,SaaS,E,致命,紧急,订单,设计问题,订单发货统计列表以及导出未支持新版自定义字段
174,230703-00002081,2023-07-03 15:24:38,【明达铝业科技（太仓）有限公司（NEW）】生产报工选择模具时突然显示无权限,SaaS,CorePaaS,致命,紧急,生产管理,环境运维,误操作重置了表单
175,230703-00002080,2023-07-03 14:51:23,对接corepaas审核流，如果owner是APAAS，批量审核流操作回调不会调回调日志接口以及批量操作后没有弹通知提醒框,SaaS,CorePaaS,严重,高,CorePaaS,代码错误,领域融合表单审核流改造遗留问题
176,230703-00002078,2023-07-03 14:11:05,【海德鲁铝业科技（太仓）有限公司】设备日历编辑删除夜班日历，只删除了夜班的一半日历，另外一半不删除,SaaS,前端,严重,紧急,设备管理,其他,前端代码bug，未处理当前删除班次对其他日期的影响
177,230703-00002077,2023-07-03 13:23:43,【明达铝业科技（太仓）有限公司（NEW）】按仓库查询，物料库存数显示不对，待洗白仓没有库存，按仓库查询有库存,SaaS,E,致命,紧急,库存,数据清理,库存未同步
178,230703-00002075,2023-07-03 13:21:03,【怡亚通】生产单B-230606-001 列表入库数量显示不正确，未将已撤销的入库数据排除,SaaS,M,一般,中,生产管理,代码错误,"批量撤销的时候,代码有问题"
179,230703-00002074,2023-07-03 12:20:07,【广州市梓浚供应链管理有限公司】-采购价目表编辑，添加物料勾选分段--点击取消--填写单价，点击保存/提交，后显示分段信息单价,SaaS,E,致命,紧急,物料,代码错误,新建编辑时勾选填写分段价格后又取消分段价格，保存时前端传参错误，同时传参有分段枚举与普通价格，导致后端保存错误
180,230703-00002071,2023-07-03 10:42:39,【明达】工模具->生产领用->列表子表展开时， search 接口504超时,SaaS,CorePaaS,严重,高,CorePaaS,代码错误,"查数量时添加了sort过滤，导致慢查询超时。已修改为：判断是否为count查询，如果是过滤掉sort子句。"
181,230703-00002070,2023-07-03 10:00:01,【滁州金纬机械有限公司】-存货核算-勾稽日志-设置表单，开启子表中“物料名称”的支持筛选，点击报错提示“【CPS10102A006】 数据 [最大长度只能是正整数且小于等于23] 错误！”，是所有字段均需要修改长度为23嘛？,SaaS,E,致命,紧急,库存,其他,与NOSP配置不一致，重置表单
182,230703-00002069,2023-07-03 09:58:06,【滁州金纬机械有限公司】-存货核算-勾稽日志-点击导出-点击导出全部数据，全选“勾稽日志表体official”，导出文件未显示子表值,SaaS,CorePaaS,致命,紧急,库存,设计问题,之前未支持导出的场景，只支持详情展示
183,230703-00002068,2023-07-03 09:20:16,【宁波海子卫浴用品有限公司】用户创建BOM时，添加多个子项物料，添加错误时，删除一个子项物料所有的子项物料都不见了，麻烦查看下是哪里的问题呢,SaaS,前端,严重,紧急,物料,代码错误,之前用的rootItemId作为key值去做删除，然后出现rootItemId重复导致问题，后被开发改成其他key 也有问题。现在使用itemId。
184,230702-00002065,2023-07-02 22:10:18,【欧权】生产单-产品批量-点击报工记录，不是专门那条批量的报工记录，跳出了全部报工记录,SaaS,产品组,严重,高,生产管理,设计问题,很老的代码没人改过 可能某次后端接口字段修改没有同步前端进行修改
185,230702-00002064,2023-07-02 22:00:07,【欧权】生产单批量界面，当前工序增加筛选按钮,SaaS,产品组,一般,高,生产管理,用户体验,不是bug.  批量数据量太大，所以es中未加当前工序的筛选。
186,230702-00002063,2023-07-02 14:45:32,【上海纽酷分公司】报表导出异常无反应,SaaS,CoreBI,一般,中,CoreBI,代码错误,筛选器用originColumnName没有匹配上，改用columnName和originColumnName同时匹配
187,230702-00002062,2023-07-02 14:36:27,【艾迪精密-树根】CPS单据- 物料采购供应商配额，选择供应商时报错。,SaaS,项目组,严重,高,CorePaaS,代码错误,实施已经找产品经理给解决了，研发无需解决
188,230701-00002059,2023-07-01 16:47:39,[安徽威盛]高级车间计划待排产提示系统开小差,SaaS,M,致命,紧急,车间计划,无法复现,没有复现
189,230701-00002057,2023-07-01 15:47:17,【巨将】用户APP端查看待审核的订单，在任务入口没有小红点展示，麻烦查看下是哪里的问题呢,SaaS,E,致命,紧急,订单,数据清理,订单查询写法有错误
190,230701-00002055,2023-07-01 14:11:00,【YK2】应收应付-应收金额不准确,SaaS,CorePaaS,严重,中,财务,代码错误,6月29cps发布出现一个bug，子表数据会把表头数据改掉，该bug在6.30修复了
191,230701-00002049,2023-07-01 11:53:06,【石家庄市精诚不锈钢制品有限公司】用户设置订单审核流，设置了订单节点状态为自定义状态，保存时提示成功，再次编辑改成无，保存时也提示成功，但是再次进入还是自定义状态，麻烦查看下是哪里的问题呢,SaaS,CorePaaS,一般,中,订单,代码错误,无法复现，实施确认晚一点录屏
192,230701-00002048,2023-07-01 11:33:48,艾迪-测试：上环境，销售发货需求（备库单复制）新建完单据后，点击编辑后，客户、客户订单，物料等字段都无法编辑,SaaS,CorePaaS,严重,高,CorePaaS,代码错误,不是bug，cps表单开启工作流需要配置后才可编辑
193,230701-00002047,2023-07-01 11:13:18,【内部】报备任务触发创建人重复,SaaS,CorePaaS,致命,紧急,CorePaaS,代码错误,代码缺陷，新接口创建人问题由此发现发现更多缺失考虑的问题
194,230701-00002046,2023-07-01 10:54:57,【兴顺】高级车间计划排产报错,SaaS,M,一般,中,车间计划,无法复现,未复现，当前排产没有问题，客户也反馈没有再出现
195,230701-00002045,2023-07-01 10:52:02,【兴顺】CPS表格报错,SaaS,CorePaaS,一般,中,CorePaaS,无法复现,BUG信息提供不全，经过与实施沟通，确认租户后，无法复现报错
196,230630-00002013,2023-06-30 18:22:31,【皖太】生产库存申请填写了备注，在出入库历史记录没带出来,SaaS,M,一般,中,库存,代码错误,领料出库类型备注类型获取错误
197,230630-00001932,2023-06-30 15:17:24,"【南通金韦尔】用户反馈采购入库单中的单位成本仅展示两位小数，四舍五入会导致成本总额与单据中的金额相差较大，最终导致发票金额与入库单据金额不一致，比如采购单号：CGD-GN2300-0523-55   出入库历史：L-230627-447 . L-230619-1530 , L-230627-437 , L-230627-438；发票号：PI-230629-004 ， PI-230628-013",SaaS,E,严重,高,库存,数据清理,历史bug引起的数据问题
198,230630-00002022,2023-06-30 15:06:22,嘉益：高级车间级排产内容点击导出没有导出文件，昨天还到导出成功,私有化,M,严重,紧急,生产管理,代码错误,数据类型转换问题
199,230630-00001953,2023-06-30 14:43:36,【YK2】应收应付收款单没有更新到报表,SaaS,CorePaaS,严重,中,X,环境运维,【数据同步】数据同步问题
200,230630-00001916,2023-06-30 14:21:49,测试【线上bug】表单评论上传图片有时会消失,SaaS,CorePaaS,一般,中,CorePaaS,无法复现,无法复现，怀疑跟浏览器有关，辛苦确认是否是谷歌浏览器，未收到其他人员反馈过该问题
201,230630-00001877,2023-06-30 13:26:58,四川羽佳，O-230619-011订单列表按物料查询显示的‘生产状态’和订单详情页面物料行中显示的‘生产状态’数据不一致,SaaS,产品组,严重,高,订单,设计问题,已转立项单处理，预计7.13上线
202,230630-00001841,2023-06-30 12:22:05,贺邦-设备点检触发异常,SaaS,CorePaaS,致命,紧急,设备管理,重复发现,重复发现
203,230630-00001975,2023-06-30 11:47:36,【君创】用户从【销售】-【君创-订单报表】中进行导出报表，发现部分的订单，公司字段未将填写内容带入到该报表中，导致导出的文件中无此字段，麻烦查看下是哪里的问题呢,SaaS,E,严重,紧急,订单,代码错误,订单自定义字段已经迁移，sql还有原来的查询逻辑
204,230630-00001907,2023-06-30 10:49:14,【高要鸿兴】用户的今日日常点检任务没有自动生成，查看用户的工作流运行日志均是运行失败的，同时用户工作流【0-创建点检任务】工作流未启用，麻烦查看下是否是该工作流未启用的原因，②另外如果是工作流未启用的原因需要查看下是什么原因未启用，谁编辑了工作流，③如何再次触发今日的点检任务,SaaS,CorePaaS,严重,紧急,设备管理,重复发现,"问题①：""0-创建点检任务""是因为有人修改了工作流，所以显示待启用状态;  问题②：修改人是“申小龙”；问题③：工作流map问题"
205,230630-00002036,2023-06-30 10:27:22,【安徽骆氏升泰汽车零部件有限公司-事业一部】-出入库历史单号：L-230630-388和 L-230630-390实际是同一生产单：B-230207-003追042103追042104的领用在制品出库任务，但是由于用户同时打开库存任务页面出库后，另外一个用户没有刷新页面重复出库，为什么同一任务，可以重复操作出库成功,SaaS,M,致命,紧急,库存,设计问题,没有校验任务是否完成
206,230630-00001851,2023-06-30 10:19:10,【沧州庆发铸业】销售订单中前往生产按钮报错,SaaS,CorePaaS,致命,紧急,酷工厂,代码错误,【工作流批量接口】工作流保存时查询编号异常
207,230630-00001802,2023-06-30 10:09:39,【海冰美厨-酷工厂】销售发货单、销售回款单今天新建后，工作流程全部报错，数据无法更新到销售订单,SaaS,CorePaaS,致命,紧急,酷工厂,重复发现,代码错误，更新节点更新数据时未传编号值
208,230630-00002018,2023-06-30 10:07:28,【福建省盛世大翔茶业有限公司】用户生产单：B-230315-00002，已完成，但是仍有领料出库任务，查看待领料列表，未查看到领料单，麻烦查看下是哪里的问题呢,SaaS,M,严重,紧急,库存,设计问题,生成领料任务，判断生产单是否已完成
209,230630-00001815,2023-06-30 10:00:59,【烟台艾迪  本地部署】生产、采购、仓库模块 打印类型使用word打印模板打印显示整理格式出错，没办法打印。,私有化,项目组,一般,中,生产管理,无法复现,艾迪本地使用的是ip地址签入，没有外网，我们只是做了数据迁移，导致客户没有办法使用打印模板
210,230630-00001969,2023-06-30 09:48:00,【玉环县正大机械】二开-客户账号管理平台报错,SaaS,项目组,严重,中,X,代码错误,nacos改造，xinheyun core   和common包混用导致的获取logininfo为空的bug
211,230630-00002035,2023-06-30 09:44:30,【海宁上通优必胜轴承有限公司】异常看板数据显示异常，不显示设备和故障类型,SaaS,CorePaaS,致命,紧急,设备管理,代码错误,【领域对接范围】增加了批量发送rabbitmq后，影响了该功能，需要在定义一个rabbitmq template，独立进行发送
212,230630-00001793,2023-06-30 09:34:14,【高佳】流转接收单  筛选待接收  报错,SaaS,CorePaaS,严重,紧急,CorePaaS,环境运维,【领域接口不稳定】未复现，可能是当时网络不稳定
213,230629-00001746,2023-06-29 19:06:06,酷工厂：nosp的审核流未下发到租户,SaaS,CorePaaS,严重,紧急,酷工厂,脏数据处理,【脏数据】工作流错误，导致下发失败
214,230629-00001731,2023-06-29 12:01:28,【沃冠】用户：李一尘在运行物料需求计划时，提示：刘敏在运行此计划，但是查看刘敏的账号没有，物料需求计划的模块，以及权限，麻烦查看下，是哪里的问题造成显示刘敏在运行物料需求计划么,,产品组,严重,紧急,生产管理,设计问题,没有做计算逻辑校验，现场景可能是客户登录一个有权限的账号后打开了计划页面，另一个页面退出并登录了刘敏，然后再次进行计算，导致
215,230630-00002024,2023-06-29 11:38:25,嘉益：高级车间计划，逾期计算无法使用。生产单MO047696，有逾期未完成子任务单，进行逾期计算重新运行无法操作,私有化,M,致命,紧急,生产管理,性能问题,提供支持选择生产单计算逾期状态功能，优化逾期计算逻辑，提升计算速度
216,230629-00001728,2023-06-29 11:28:27,【海德鲁】用户44台设备显示未连接，麻烦查看下是否有问题，和第三方技术确认，他们那边说获取数据无问题，麻烦查看下呢,,移动端,致命,紧急,设备管理,代码错误,已恢复正常，网络波动导致设备掉线
217,230629-00001727,2023-06-29 11:22:56,嘉益：生产单首检任务设置了按班次报工生成，但是今天首检任务报工之后没有生成对应的首检任务，请帮忙查询原因。单号：MO047696,,产品组,严重,紧急,生产管理,代码错误,班次时间内 首次报工，没有触发首检任务
218,230630-00001777,2023-06-29 11:10:07,【江苏金韦尔机械有限公司】用户采购单：CGD-GP2300-0608-38，中物料是没有选择仓库信息的，目前在入库的时候，仓库主管：占利峰，看不到二次入库任务（仓库填写为空）查看数据是开启的，仅为自己负责仓库的数据查看权限，更改为可以查看所有仓库后，即可查看该任务，所以麻烦查看下是哪里的问题造成的呢,SaaS,E,致命,紧急,库存,无法复现,根据描述无法复现，客户任务已经弯沉无法复现
219,230630-00001862,2023-06-29 11:06:53,嘉益：生产单号：MO044124发现子任务单开始时间晚于计划结束时间,私有化,M,严重,紧急,生产管理,脏数据处理,任务单时间与高级车间计划时间不一致
220,230630-00001843,2023-06-29 11:05:23,【南京川木】序列号产品其他入库提示序列号重复,,产品组,一般,中,X,设计问题,sn规则分为物料、分类、系统、每种自定义时又可以分为默认、自定义，如果规格相同，但是属于不同大分类，则很容易出现重复
221,230629-00001720,2023-06-29 10:13:04,【YK2】应收应付收款单和应收报表收款金额不一致,,CorePaaS,致命,高,X,环境运维,【数据同步】数据同步问题
222,230629-00001718,2023-06-29 09:42:48,【东营泰丰精密金属有限公司】-销售订单列表筛选“生产状态”：未加入计划，但是列表显示未加入计划+待排产状态单据，筛选待排产，未显示单据，如截图,,E,致命,紧急,订单,数据清理,ES同步后正常显示
223,230629-00001717,2023-06-29 09:30:11,【红旗】用户计件工资计算的是5月1日到6月30日的，目前查看该段内的人员薪资，点击人员名称，明细不展示，麻烦查看下是哪里的问题呢,,M,致命,紧急,生产管理,脏数据处理,es与数据库数据不一致导致，重新计算即可
224,230628-00001715,2023-06-28 22:33:51,【艾迪-树根项目】工作中心导入模板中没有车间字段，无法进行数据导入。,,产品组,一般,中,日常运维,设计问题,长时间未进行更新工作中心导入模板，需要增加部分功能导入字段
225,230628-00001710,2023-06-28 17:39:00,【红旗】用户目前工作中心比较多，无法批量修改字段【 限制批量最大可报工数】希望我们帮助用户进行批量修改，目前要修改的工作中心表格已上传，大约有122个工作中心，是按照车间进行筛选并修改的，麻烦是否可以协助批量修改呢,,产品组,严重,紧急,生产管理,设计问题,没有做这个功能
226,230628-00001706,2023-06-28 15:08:02,【安徽威盛】mrp运算运行算不出来所需采购件材料,,产品组,致命,紧急,MRP,代码错误,已知历史问题
227,230628-00001705,2023-06-28 14:46:14,【溢达】用户筛选订单【2023-02-01——2023-06-28】日的已完成的订单，按物料查看，①筛选确认时会进行提示服务器内部错误，（尝试选择了单据状态筛选及发货状态筛选后就会有报错）②点击导出的时候也会提示服务器内部错误,,E,致命,紧急,订单,代码错误,代码查询了已作废的发货单，导致后续逻辑异常
228,230630-00001748,2023-06-28 13:10:37,【上海拜恩机械制造有限公司】-备库单中的bom版本号字段，配置了数据过滤，但是选不到版本号，如截图，是配置问题嘛，如物料编码;D3240-4590-2A,,CorePaaS,致命,紧急,主生产计划,代码错误,【前端V2升级】corepaas 表单配置代码问题。
229,230628-00001699,2023-06-28 11:46:21,【凡尔智能科技集团有限公司】用户物料：01.01.08.005，库存查询列表中查看有19个库存，但是在物料详情中查看是没有库存的，导致物料开启批次时，分配了19个库存的批次，提交时提示：该物料批次状态不允许修改:库存已发生变化，无法完成批次分配，麻烦查看下是哪里的问题呢,,E,致命,紧急,物料,数据清理,分布式事务导致的库存没有回退，编辑物料domain层有错误校验，app一些RPC没有做分布式事务管理，数据无法回退
230,230628-00001696,2023-06-28 10:36:49,【YKM】英凯模线上环境，CPS-菜单设置，物料架_物料架-报工耗料记录，取消隐藏，点击保存。报错”系统开小差了“,,CorePaaS,致命,紧急,CorePaaS,脏数据处理,导航栏添加了重复的表单  (可能是菜单移动之前有缺陷导致的重复表单)
231,230627-00001687,2023-06-27 17:30:12,【南通金韦尔智能装备有限公司】-用户反馈单位成本如果仅展示两位小数，四舍五入的话 会导致如果单据多的话成本总额计算差距太多，比如出入库历史：L-230617-030，物料：0302582，单位成本计算为：0.34637168，但是显示为0.35，导致计算出来的成本金额有差距，如果当前出入库历史单据均有此问题，这样会导致成本总额的合计会差距较大，是否可以优化小数位展示逻辑呢,,E,严重,高,库存,代码错误,之前修复币种换算导致出入库金额改成了2位小数
232,230627-00001686,2023-06-27 16:42:59,【宏贯】福建宏贯订单退货问题,,项目组,致命,紧急,集成对接,代码错误,"程序BUG。1. 参数校验错误；2. coreplus 创建发货单参数发生变更，导致参数错误"
233,230630-00002003,2023-06-27 15:49:05,【上海拜恩机械制造有限公司】，备库单点击作废按钮提示成功，但是单据状态未更新，然后点击删除按钮提示不是作废状态,,M,致命,紧急,主生产计划,脏数据处理,出现两条相同的备库单号，导致作废报错
234,230630-00001855,2023-06-27 15:28:16,【台翔】首页生产单本月成品入库数量以及生产模块-报表统计-<成品入库汇总> 数据计算错误，目前计算的数据包含了已撤销的生产入库数,,M,一般,中,生产管理,重复发现,E组针对于“作废”增加新字段
235,230627-00001680,2023-06-27 15:25:34,【富光塑胶事业部】计件工资明细出现其他租户数据,,Efficiency,致命,紧急,计件工资,代码错误,corebi-legacy 的计件工资sql中，缺少了对tenant_id的过滤
236,230627-00001677,2023-06-27 14:04:30,【新核云-上海纽酷分公司】sow新建时添加一级场景报错,,CorePaaS,一般,中,CorePaaS,环境运维,缓存问题，缓存的序列号的值小于列表也最大的序号，造成生成序号失败。
237,230627-00001675,2023-06-27 11:59:23,[安徽威盛]MRP运行显示订单数量异常,,M,致命,紧急,MRP,重复发现,mrp运算超时导致 数据与清理后的不一致
238,230627-00001674,2023-06-27 11:51:24,【兴顺】MRP运算卡了半个小时了,,M,一般,中,MRP,重复发现,相同bug
239,230627-00001673,2023-06-27 11:49:30,【兴顺】CPS表单报错,,CorePaaS,一般,中,CorePaaS,代码错误,【数字上下限】上下线需求上线影响到了这里
240,230627-00001670,2023-06-27 11:47:33,【东莞众宏通】用户生产单：XD2209230005-1完成时校验可完成，点击完成后，提示：存在待还料的领用计划用料，麻烦查看下是哪里的问题呢,,M,严重,紧急,生产管理,脏数据处理,晚上数据同步 计划用料id不一致
241,230627-00001671,2023-06-27 11:43:32,【YKM】英凯模线上环境，不合格品处理方式为返修时，提示”系统开小差“,,M,致命,紧急,生产管理,代码错误,生产单A工序工作中心中与返修流程的A工序 工序相同，但工作中心不一致导致
242,230627-00001672,2023-06-27 11:41:52,【上海雁南汽车零部件有限公司】-新建销售发票，提示必填【红蓝字】，但是表单配置此字段是新增/编辑时隐藏，但是又是必填,,E,致命,紧急,财务,其他,客户红蓝字设置了必填校验
243,230627-00001665,2023-06-27 11:19:29,【致特森】用户查看看板中【成品仓】仓库情况，今日待出库物料中部分物料没有库存任务，例如：1.01.02.4022-N，但是仍旧在库存看板中展示，查看语雀中，数据正常1分钟刷新一次，同时计算的是已出库数小于计划出库数的物料，按物料聚合。当出库比例达到100%后，不显示。按已出库比例从大到小排列。,,产品组,致命,紧急,看板,设计问题,这个看板是很久之前设计的，逻辑有些问题，需要产品介入
244,230627-00001668,2023-06-27 11:13:26,【东莞市皖太电子科技有限公司】生产库存申请备注没有携带到出入库历史中,,M,一般,中,X,无法复现,查看日志参数， 当时没有传来 备注信息，可能客户误删备注导致
245,230627-00001667,2023-06-27 11:02:36,【南京川木】采购发票 系统报错,,E,一般,中,X,其他,优化内容：应收付调出入库融合查询不设置默认排序
246,230627-00001666,2023-06-27 11:00:35,【上海翰擎高新技术股份有限公司-2】工艺路线编辑删除物料没有操作日志,,产品组,严重,高,生产管理,设计问题,功能缺失，提内部产品优化需求处理
247,230627-00001662,2023-06-27 10:11:58,【上海拜恩机械制造有限公司】-备库单配置BOM版本设置默认值过滤时选不到子表对应物料,,CorePaaS,致命,紧急,主生产计划,代码错误,【前端V2升级】id转apiname需求影响
248,230627-00001658,2023-06-27 08:55:22,【富光-不锈钢事业部】新建采购申请未显示默认供应商，采购申请单号: PR-230625-004-----重复发生问题,,E,致命,紧急,采购申请,代码错误,编辑的单据默认不会带出默认供应商
249,230630-00001849,2023-06-26 20:02:09,佛山兴顺设备看板，设备状态显示未知,SaaS,IOT,严重,高,看板,代码错误,"看板页面监听了Mqtt，Mqtt服务器手动订阅可以获取到数据，看板监听mqtt服务异常，麻烦前端值班人员@陈威严排查一下；登陆客户账号看了一下，页面已经显示正常了！"
250,230626-00001656,2023-06-26 20:00:25,越凡--发票号长度不能超过20位，之前提过需求释放发票号长度,,E,严重,高,财务,重复发现,越凡--发票号长度不能超过20位，之前提过需求释放发票号长度
251,230626-00001655,2023-06-26 18:54:16,发票号长度修改：单个发票号长度20，整个发票号最长：128，逻辑如图,,E,一般,中,财务,其他,修改逻辑有误
252,230626-00001654,2023-06-26 18:11:26,【航磁】航磁本地系统运行缓慢,,移动端,致命,紧急,私有化部署,代码错误,前端代码中，仍有从互联网加载资源的操作
253,230626-00001651,2023-06-26 16:31:38,【宁波市奉化溪口新华压铸厂】销售订单，点击发货记录提示“服务器内部错误”，销售单实际已发货，在发货单列表按物料展示是可以搜索到的，但是在销售单详情查看不到发货单记录,,E,致命,紧急,订单,脏数据处理,物料默认仓库为空时发货记录会报错
254,230626-00001647,2023-06-26 15:12:13,【蓝辉金属】应付账款-付款单-采购与付款单，没法选采购单,,E,严重,高,财务,其他,表单配置
255,230626-00001642,2023-06-26 14:41:37,【YKM】英凯模线上环境,,项目组,致命,紧急,生产管理,代码错误,耗料时未根据生产单批次进行消耗，自动分配了其他批次。代码缺陷
256,230626-00001637,2023-06-26 11:35:33,【德州敏驰】定制报表-工时汇总表，业务类型不显示了,,Efficiency,严重,紧急,CoreBI,代码错误,sql问题，导致接口查询报错
